Column Name,What It Contains,How to Populate / Fetch (Using Your Tech Stack),Data Format,,User Query,Context Window,Extracted Context,Semantic Layer Mapping,Data Retrieval SQL Query,Data Retrieval Output,Data Analysis Output,Final User Output
User Query,The original user's natural language input.,"Captured directly from the user interface (chatbot, web app, API endpoint).",Plain text,,What is the efficiency for JP in the week of 6th Jan'25,—,country: JP,country ? efficiency_table.country,"SELECT SUM(TKM)/NULLIF(SUM(Total_KM),0) AS efficiency FROM efficiency_table WHERE country='JP' AND week_date='2025-01-06'","[{""efficiency"": 0.82}]","{""efficiency"": 0.82}",The efficiency for JP in the week of 6th Jan 2025 is 82%.
Context Window,"Persisted session memory: previous queries, extracted context, parameters, and results.","Read and updated usingBigQuery Vector Search(or Redis if used) as a session store, keyed by user/session ID. Managed by LangGraph.",JSON object or key-value pairs,,,,week_date: 2025-01-06,week_date ? efficiency_table.week_date,,,,
Extracted Context,"Structured representation of the current query: entities, dimensions, measures, intent, time, etc.","Extracted usingGemini-1.5-Flash(LLM) via the Query Understanding Agent, orchestrated byLangGraph.",JSON or key-value pairs,,,,metric: efficiency,"efficiency ? SUM(TKM)/NULLIF(SUM(Total_KM),0)",,,,
Semantic Layer Mapping,Mapping of each extracted context element to the physical schema and business logic.,Defined inYAML + Pythonsemantic layer; mapping logic implemented in Python modules or LangGraph nodes.,List or dictionary,,,,intent: fetch_metric,,,,,
Data Retrieval SQL Query,The SQL query generated to fetch the relevant data from the warehouse.,"Generated in Python (using Jinja2 or similar templating) or via LangGraph nodes, referencing the semantic mapping; executed onBigQuery.",SQL string,,What is the efficiency for VID 12345 on 10th June 2025,—,VID: 12345,VID ? efficiency_table.VID,"SELECT SUM(TKM)/NULLIF(SUM(Total_KM),0) AS efficiency FROM efficiency_table WHERE VID=12345 AND week_date='2025-06-10'","[{""efficiency"": 0.78}]","{""efficiency"": 0.78}",The efficiency for VID 12345 on 10th June 2025 is 78%.
Data Retrieval Output,Raw or aggregated data fetched from the database.,Fetched fromBigQueryusing the Python BigQuery client or SQLAlchemy; returned as JSON orPandas DataFrame.,List of dicts or DataFrame,,,,week_date: 2025-06-10,week_date ? efficiency_table.week_date,,,,
Data Analysis Output,"Result of further computation, ranking, or business logic applied to the retrieved data.","Processed inPythonusingPandas,NumPy, orScikit-Learn; orchestrated via LangGraph or a dedicated Data Analysis Agent.","Dict, list, or summary object",,,,metric: efficiency,"efficiency ? SUM(TKM)/NULLIF(SUM(Total_KM),0)",,,,
Final User Output,"Human-readable answer or visualization for the user, summarizing the analysis output.","Generated usingGemini-1.5-Flash(LLM) or templated NLG (Jinja2); can include charts viaPlotly/Matplotlib, PDFs viaWeasyPrint.","Plain text, HTML, or image/chart",,,,intent: fetch_metric,,,,,
,,,,,Can you please compare the efficiency for VID 12345 for the month of April'25 & May'25,—,VID: 12345,VID ? efficiency_table.VID,"SELECT EXTRACT(MONTH FROM week_date) AS month, SUM(TKM)/NULLIF(SUM(Total_KM),0) AS efficiency FROM efficiency_table WHERE VID=12345 AND week_date BETWEEN '2025-04-01' AND '2025-05-31' GROUP BY month","[{""month"": 4, ""efficiency"": 0.80}, {""month"": 5, ""efficiency"": 0.85}]","{""April"": 0.80, ""May"": 0.85}","For VID 12345, efficiency: April 2025 - 80%, May 2025 - 85%."
,,,,,,,"months: 2025-04, 2025-05",week_date ? efficiency_table.week_date,,,,
,,,,,,,metric: efficiency,"efficiency ? SUM(TKM)/NULLIF(SUM(Total_KM),0)",,,,
,,,,,,,intent: compare_metric,,,,,
